"CTRY","YEAR","PHYSINT"
"Afghanistan",1981,0
"Afghanistan",1982,0
"Afghanistan",1983,0
"Afghanistan",1984,0
"Afghanistan",1985,0
"Afghanistan",1986,0
"Afghanistan",1987,0
"Afghanistan",1988,0
"Afghanistan",1989,0
"Afghanistan",1990,0
"Afghanistan",1991,1
"Afghanistan",1992,NA
"Afghanistan",1993,NA
"Afghanistan",1994,NA
"Afghanistan",1995,NA
"Afghanistan",1996,0
"Afghanistan",1997,0
"Afghanistan",1998,0
"Afghanistan",1999,0
"Afghanistan",2000,0
"Afghanistan",2001,0
"Afghanistan",2002,3
"Afghanistan",2003,NA
"Afghanistan",2004,NA
"Afghanistan",2005,4
"Afghanistan",2006,4
"Afghanistan",2007,4
"Afghanistan",2008,3
"Afghanistan",2009,4
"Afghanistan",2010,3
"Afghanistan",2011,4
"Albania",1981,1
"Albania",1982,2
"Albania",1983,2
"Albania",1984,1
"Albania",1985,NA
"Albania",1986,NA
"Albania",1987,NA
"Albania",1988,NA
"Albania",1989,NA
"Albania",1990,3
"Albania",1991,4
"Albania",1992,6
"Albania",1993,6
"Albania",1994,7
"Albania",1995,4
"Albania",1996,4
"Albania",1997,4
"Albania",1998,5
"Albania",1999,5
"Albania",2000,3
"Albania",2001,6
"Albania",2002,6
"Albania",2003,5
"Albania",2004,6
"Albania",2005,7
"Albania",2006,6
"Albania",2007,7
"Albania",2008,7
"Albania",2009,7
"Albania",2010,7
"Albania",2011,6
"Algeria",1981,7
"Algeria",1982,8
"Algeria",1983,7
"Algeria",1984,5
"Algeria",1985,7
"Algeria",1986,6
"Algeria",1987,5
"Algeria",1988,4
"Algeria",1989,5
"Algeria",1990,5
"Algeria",1991,4
"Algeria",1992,2
"Algeria",1993,2
"Algeria",1994,2
"Algeria",1995,0
"Algeria",1996,3
"Algeria",1997,0
"Algeria",1998,4
"Algeria",1999,0
"Algeria",2000,4
"Algeria",2001,4
"Algeria",2002,2
"Algeria",2003,1
"Algeria",2004,5
"Algeria",2005,5
"Algeria",2006,1
"Algeria",2007,4
"Algeria",2008,5
"Algeria",2009,6
"Algeria",2010,5
"Algeria",2011,4
"Andorra",1981,NA
"Andorra",1982,NA
"Andorra",1983,NA
"Andorra",1984,NA
"Andorra",1985,NA
"Andorra",1986,NA
"Andorra",1987,NA
"Andorra",1988,NA
"Andorra",1989,NA
"Andorra",1990,NA
"Andorra",1991,NA
"Andorra",1992,NA
"Andorra",1993,NA
"Andorra",1994,NA
"Andorra",1995,NA
"Andorra",1996,NA
"Andorra",1997,NA
"Andorra",1998,NA
"Andorra",1999,NA
"Andorra",2000,NA
"Andorra",2001,8
"Andorra",2002,NA
"Andorra",2003,8
"Andorra",2004,8
"Andorra",2005,8
"Andorra",2006,8
"Andorra",2007,8
"Andorra",2008,8
"Andorra",2009,8
"Andorra",2010,8
"Andorra",2011,8
"Angola",1981,5
"Angola",1982,2
"Angola",1983,2
"Angola",1984,3
"Angola",1985,5
"Angola",1986,4
